W_m,L_m,VGS,ID_A,JD_mA_per_um,NFmin_dB,NF_dB,Rn,SOpt_real,SOpt_imag,W_um,L_um
1e-05,2.8e-07,0.99,0.000361176,0.0361176,0.0181636,8.79979,329.203,0.99895,0.0287435,10.0,0.28
5e-06,2.8e-07,0.995,0.000182973,0.0365946,0.0203401,12.4004,818.931,0.999607,0.0145443,5.0,0.28
1e-06,2.8e-07,1.03,4.04479e-05,0.0404479,0.0206166,19.0655,3982.02,0.999937,0.00245138,1.0,0.28
2.2e-07,2.8e-07,0.94,9.54621e-06,0.0433919,0.0211838,24.9186,15468.0,0.999984,8.65211e-05,0.22,0.28
1e-05,3.6e-07,1.17,0.000448451,0.0448451,0.0211966,8.9869,345.87,0.998732,0.033512,10.0,0.36
5e-06,3.6e-07,1.185,0.000233609,0.0467218,0.0232821,12.3727,813.394,0.999525,0.0170468,5.0,0.36
1e-06,3.6e-07,1.2,4.75358e-05,0.0475358,0.0236096,19.0772,3992.85,0.999928,0.00295082,1.0,0.36
2.2e-07,3.6e-07,1.14,1.25343e-05,0.0569742,0.0245713,25.1899,16468.0,0.999983,0.000193404,0.22,0.36
1e-05,5e-07,1.2,0.000338753,0.0338753,0.0288942,9.82379,429.921,0.998309,0.0428138,10.0,0.5
5e-06,5e-07,1.2,0.000168574,0.0337149,0.0289819,12.5911,857.881,0.999387,0.021176,5.0,0.5
1e-06,5e-07,1.2,3.26717e-05,0.0326717,0.0297677,19.4276,4332.57,0.999914,0.00379235,1.0,0.5
2.2e-07,5e-07,1.2,1.02778e-05,0.0467175,0.0305472,25.61,18145.7,0.999981,0.00037247,0.22,0.5
